NDB_NO,Description,Weight(g),Measure,"Vitamin K (phylloquinone)"(µg)Per Measure,
"""09002""","Acerola juice, raw",242.0,"1.0 cup",3.4,,
"""14006""","Alcoholic beverage, beer, light",29.5,"1.0 fl oz",0.0,,
"""14003""","Alcoholic beverage, beer, regular, all",29.7,"1.0 fl oz",0.0,,
"""14034""","Alcoholic beverage, creme de menthe, 72 proof",33.6,"1.0 fl oz",0.0,,
"""14010""","Alcoholic beverage, daiquiri, prepared-from-recipe",30.2,"1.0 fl oz",0.0,,
"""14037""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",27.8,"1.0 fl oz",0.0,,
"""14550""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",27.8,"1.0 fl oz",0.0,,
"""14551""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",27.8,"1.0 fl oz",0.0,,
"""14049""","Alcoholic beverage, distilled, gin, 90 proof",27.8,"1.0 fl oz",0.0,,
"""14050""","Alcoholic beverage, distilled, rum, 80 proof",27.8,"1.0 fl oz",0.0,,
"""14415""","Alcoholic beverage, liqueur, coffee with cream, 34 proof",31.1,"1.0 fl oz",0.4,,
"""14414""","Alcoholic beverage, liqueur, coffee, 53 proof",34.8,"1.0 fl oz",0.0,,
"""14017""","Alcoholic beverage, pina colada, prepared-from-recipe",31.4,"1.0 fl oz",0.0,,
"""43479""","Alcoholic beverage, rice (sake)",29.1,"1.0 fl oz",0.0,,
"""14029""","Alcoholic beverage, whiskey sour, prepared from item 14028",30.4,"1.0 fl oz",0.0,,
"""14025""","Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",29.4,"1.0 fl oz",0.0,,
"""43154""","Alcoholic beverage, wine, cooking",4.9,"1.0 tsp",0.0,,
"""14536""","Alcoholic beverage, wine, dessert, dry",29.5,"1.0 fl oz",0.0,,
"""14057""","Alcoholic beverage, wine, dessert, sweet",29.5,"1.0 fl oz",0.0,,
"""43155""","Alcoholic beverage, wine, light",29.5,"1.0 fl oz",0.0,,
"""14084""","Alcoholic beverage, wine, table, all",148.0,"1.0 serving 5 fl oz",0.0,,
"""14096""","Alcoholic beverage, wine, table, red",29.4,"1.0 fl oz",0.1,,
"""14106""","Alcoholic beverage, wine, table, white",29.4,"1.0 fl oz",0.1,,
"""11001""","Alfalfa seeds, sprouted, raw",33.0,"1.0 cup",10.1,,
"""20001""","Amaranth grain, uncooked",193.0,"1.0 cup",0.0,,
"""11003""","Amaranth leaves, raw",28.0,"1.0 cup",319.2,,
"""04609""","Animal fat, bacon grease",4.3,"1.0 tsp",0.0,,
"""09400""","Apple juice, canned or bottled, unsweetened, with added ascorbic acid",248.0,"1.0 cup",0.0,,
"""09016""","Apple juice, canned or bottled, unsweetened, without added ascorbic acid",248.0,"1.0 cup",0.0,,
"""09018""","Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",239.0,"1.0 cup",0.0,,
"""09017""","Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",211.0,"1.0 can (6 fl oz)",0.0,,
"""36005""","APPLEBEE'S, chicken tenders, from kids' menu",35.0,"1.0 piece",8.8,,
"""36021""","APPLEBEE'S, coleslaw",76.0,"1.0 serving",49.5,,
"""36022""","APPLEBEE'S, crunchy onion rings",350.0,"1.0 serving",143.8,,
"""36001""","APPLEBEE'S, Double Crunch Shrimp",206.0,"1.0 serving",59.9,,
"""36002""","APPLEBEE'S, french fries",164.0,"1.0 serving",54.8,,
"""36004""","APPLEBEE'S, mozzarella sticks",32.0,"1.0 piece",7.1,,
"""09008""","Apples, canned, sweetened, sliced, drained, heated",204.0,"1.0 cup slices",1.2,,
"""09007""","Apples, canned, sweetened, sliced, drained, unheated",204.0,"1.0 cup slices",1.2,,
"""09009""","Apples, dehydrated (low moisture), sulfured, uncooked",60.0,"1.0 cup",2.6,,
"""09012""","Apples, dried, sulfured, stewed, without added sugar",255.0,"1.0 cup",1.8,,
"""09011""","Apples, dried, sulfured, uncooked",86.0,"1.0 cup",2.6,,
"""09504""","Apples, raw, fuji, with skin",109.0,"1.0 cup, sliced",1.1,,
"""09503""","Apples, raw, gala, with skin",109.0,"1.0 cup, sliced",1.4,,
"""09501""","Apples, raw, golden delicious, with skin",109.0,"1.0 cup, sliced",2.0,,
"""09502""","Apples, raw, granny smith, with skin",109.0,"1.0 cup, sliced",3.5,,
"""09500""","Apples, raw, red delicious, with skin",109.0,"1.0 cup, sliced",2.8,,
"""09003""","Apples, raw, with skin",125.0,"1.0 cup, quartered or chopped",2.8,,
"""09004""","Apples, raw, without skin",110.0,"1.0 cup slices",0.7,,
"""09005""","Apples, raw, without skin, cooked, boiled",171.0,"1.0 cup slices",1.0,,
"""09006""","Apples, raw, without skin, cooked, microwave",170.0,"1.0 cup slices",1.2,,
"""09020""","Applesauce, canned, sweetened, without salt (includes USDA commodity)",246.0,"1.0 cup",1.5,,
"""09401""","Applesauce, canned, unsweetened, with added ascorbic acid",244.0,"1.0 cup",1.2,,
"""09019""","Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",244.0,"1.0 cup",1.2,,
"""09036""","Apricot nectar, canned, without added ascorbic acid",251.0,"1.0 cup",3.0,,
"""09027""","Apricots, canned, heavy syrup pack, with skin, solids and liquids",258.0,"1.0 cup, halves",5.7,,
"""09357""","Apricots, canned, heavy syrup, drained",219.0,"1.0 cup, halves",7.2,,
"""09024""","Apricots, canned, juice pack, with skin, solids and liquids",244.0,"1.0 cup, halves",5.4,,
"""09026""","Apricots, canned, light syrup pack, with skin, solids and liquids",253.0,"1.0 cup, halves",5.6,,
"""09022""","Apricots, canned, water pack, with skin, solids and liquids",243.0,"1.0 cup, halves",5.3,,
"""09033""","Apricots, dried, sulfured, stewed, without added sugar",250.0,"1.0 cup, halves",2.8,,
"""09032""","Apricots, dried, sulfured, uncooked",130.0,"1.0 cup, halves",4.0,,
"""09021""","Apricots, raw",155.0,"1.0 cup, halves",5.1,,
"""11702""","Artichokes, (globe or french), cooked, boiled, drained, with salt",120.0,"1.0 artichoke, medium",17.8,,
"""11008""","Artichokes, (globe or french), cooked, boiled, drained, without salt",120.0,"1.0 artichoke, medium",17.8,,
